OBJECTID,TRACT,SUM_POPULATION,ShapeSTArea,ShapeSTLength
190,48029171301,2906,12121440.2167969,14993.1426767455
191,48029171302,5019,20164779.2578125,19445.5570435181
192,48029171401,4284,21076933.1914062,20537.3085731421
193,48029171402,5433,22885544.0351562,23474.246563225
194,48029171501,2846,16940276.4472656,16708.2330728659
195,48029171502,4831,21665214.9316406,18668.5546335983
196,48029171601,4462,33551554.7792969,36109.7383307915
197,48029171602,3135,87694619.2324219,46710.4100136116
198,48029171700,7520,114793525.173828,52396.9559624048
199,48029171801,5443,23896969.7675781,25135.5532217506
200,48029171802,6328,27231796.8769531,26801.7276675206
201,48029171902,9551,81337036.0917969,41882.8334062013
202,48029171903,6626,33511349.859375,24518.5080729326
203,48029171912,6197,90569214.5625,41299.6407973649
204,48029171913,5322,17680315.9785156,19461.5344705143
205,48029171914,5368,21838664.0683594,22350.5126077967
206,48029171915,2284,11238130.4179688,13483.3876515843
207,48029171916,6719,59869897.53125,34692.4592782837
208,48029171917,8439,33514377.6972656,24556.2472438682
209,48029171918,5185,91257372.7910156,54783.3607670313
210,48029171919,3201,22301355.8242188,23891.0039389166
211,48029171920,8811,63689974.5039062,40198.2163637429
212,48029171921,6024,24521673.4785156,23229.8170327497
213,48029171922,3641,31053158.9023438,22299.6887260201
214,48029171923,7442,40085427.4824219,26099.0108380594
215,48029171924,4301,50618074.0019531,31891.4200747781
216,48029171925,9244,48659711.2128906,31591.9788020421
217,48029172002,8032,600998860.990234,109221.969005875
218,48029172003,6176,36458876.0253906,26678.9437002457
219,48029172004,2495,253279897.332031,72036.7853700632
220,48029172005,3532,63080791.9863281,36108.0817851204
221,48029172006,6698,396745378.511719,101649.8057133
222,48029172007,9539,168925086.087891,69094.5107880339
223,48029180101,5023,26300116.1113281,22981.947007084
224,48029180102,1875,11294233.6386719,19271.989110854
225,48029180201,5040,21529189.0742188,20969.3710607456
226,48029180202,5359,21472553.4570312,22392.878272711
227,48029180300,4462,28676117.9453125,22673.8774070565
228,48029180400,4296,23476890.5195312,23657.9067732277
229,48029180501,4536,33926279.21875,23548.4769100364
230,48029180503,4416,20119871.9765625,19977.5274951189
231,48029180504,4491,18767048.3476562,20213.0037434951
232,48029180602,3155,15792090.8417969,18962.6290236839
233,48029180603,1946,10128156.0878906,14662.8068310044
234,48029180604,5892,40952643.6132812,30157.5138807575
235,48029180701,3982,31440030.2226562,22681.0576574582
236,48029180702,6576,35521853.2558594,26310.6177548484
237,48029180800,2515,18969715.4179688,22355.9139388478
238,48029180901,5181,30118075.7324219,28009.5927749127
239,48029180902,7968,32143722.515625,28963.3347287045
240,48029181001,3272,27642433.7890625,25893.3034961437
241,48029181003,6296,18274528.15625,17929.5708501961
