stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
82596,82596,COMMERCIAL & PETALUMA,,29.339643,-98.516193,,,,,,0
82196,82196,COMMERCIAL & FORMOSA,,29.342495,-98.516195,,,,,,0
72496,72496,COMMERCIAL & HUTCHINS,,29.345563,-98.516227,,,,,,0
62896,62896,COMMERCIAL & CANTRELL,,29.348578,-98.516228,,,,,,0
62296,62296,COMMERCIAL & W. HARDING,,29.351583,-98.51622,,,,,,0
52796,52796,COMMERCIAL & SHARMAIN,,29.353415,-98.51622,,,,,,0
42686,42686,COMMERCIAL & MCCAULEY,,29.358794,-98.516347,,,,,,0
42186,42186,COMMERCIAL & MAYFIELD,,29.36152,-98.51643,,,,,,0
32776,32776,COMMERCIAL & PYRON,,29.363307,-98.516689,,,,,,0
32176,32176,COMMERCIAL & GERALD,,29.365716,-98.516751,,,,,,0
29719,29719,W. SOUTHCROSS & HURON,,29.368122,-98.526102,,,,,,0
29416,29416,HURON & MILVID,,29.369701,-98.526298,,,,,,0
19616,19616,HURON & HARLAN,,29.371741,-98.52632,,,,,,0
19516,19516,HURON & STONEWALL,Huron St & Stonewall St,29.373268,-98.526279,,,,,,0
19316,19316,HURON & FLANDERS,Huron St & Flanders Ave,29.374505,-98.5263,,,,,,0
19383,19383,FLANDERS & FERNDALE,,29.374585,-98.523789,,,,,,0
11443,11443,FLANDERS OPPOSITE OREY,,29.374577,-98.521647,,,,,,0
91486,91486,OREY & CRYSTAL,,29.376715,-98.521411,,,,,,0
91393,91393,DIVISION & BUFFALO,Division Ave & Orey Ave,29.379499,-98.519981,,,,,,0
82976,82976,COMMERCIAL & BRITTON,,29.380869,-98.516893,,,,,,0
83716,83716,COLLINGSWORTH & GLADSTONE,,29.382241,-98.515534,,,,,,0
83216,83216,COLLINGSWORTH & WINNIPEG,,29.385056,-98.515638,,,,,,0
73616,73616,COLLINGSWORTH & W. MALONE,,29.387204,-98.515629,,,,,,0
73663,73663,MALONE & FRELON,W Malone Ave & Collingsworth Ave,29.387308,-98.513787,,,,,,0
