block_group,B08301_001E,B08301_002E,B08301_003E,B08301_004E,B08301_011E,B08301_021E
480291616002,1136.0,932.0,846.0,86.0,51.0,71.0
480291616001,788.0,753.0,582.0,171.0,0.0,27.0
480291216012,650.0,650.0,502.0,148.0,0.0,0.0
480291216013,743.0,661.0,603.0,58.0,37.0,0.0
480291216014,429.0,302.0,288.0,14.0,0.0,18.0
480291218021,1078.0,990.0,927.0,63.0,0.0,70.0
480291218023,1794.0,1705.0,1639.0,66.0,0.0,67.0
480291303002,428.0,389.0,313.0,76.0,24.0,15.0
480291303001,244.0,209.0,209.0,0.0,9.0,26.0
480291307002,364.0,300.0,292.0,8.0,53.0,11.0
480291307001,454.0,361.0,284.0,77.0,27.0,0.0
480291702004,333.0,281.0,149.0,132.0,52.0,0.0
480291702006,341.0,309.0,216.0,93.0,0.0,0.0
480291702002,334.0,320.0,210.0,110.0,0.0,0.0
480291702005,115.0,81.0,59.0,22.0,34.0,0.0
480291702001,290.0,213.0,182.0,31.0,21.0,32.0
480291316011,347.0,342.0,297.0,45.0,0.0,5.0
480291317001,398.0,293.0,269.0,24.0,0.0,20.0
480291412004,240.0,193.0,167.0,26.0,47.0,0.0
480291412001,584.0,439.0,374.0,65.0,145.0,0.0
480291412005,621.0,577.0,512.0,65.0,5.0,39.0
480291412002,533.0,493.0,430.0,63.0,0.0,0.0
480291501003,401.0,388.0,296.0,92.0,13.0,0.0
480291309002,382.0,322.0,291.0,31.0,0.0,22.0
480291309003,450.0,385.0,367.0,18.0,35.0,30.0
480291310003,357.0,294.0,286.0,8.0,29.0,7.0
480291310004,251.0,211.0,205.0,6.0,6.0,34.0
480291310001,894.0,721.0,603.0,118.0,110.0,32.0
480291310002,273.0,259.0,226.0,33.0,0.0,0.0
480291405003,567.0,540.0,534.0,6.0,0.0,10.0
480291405002,698.0,588.0,449.0,139.0,68.0,42.0
480291405001,403.0,377.0,322.0,55.0,0.0,9.0
480291405004,302.0,290.0,239.0,51.0,0.0,12.0
480291406002,420.0,402.0,361.0,41.0,0.0,0.0
480291406001,846.0,764.0,611.0,153.0,50.0,18.0
480291407003,262.0,252.0,180.0,72.0,10.0,0.0
480291407001,476.0,457.0,435.0,22.0,0.0,19.0
480291407004,389.0,389.0,240.0,149.0,0.0,0.0
480291407005,569.0,513.0,480.0,33.0,56.0,0.0
480291413001,432.0,370.0,290.0,80.0,45.0,0.0
480291413003,1523.0,1248.0,1046.0,202.0,206.0,27.0
480291702003,383.0,371.0,279.0,92.0,0.0,0.0
480291806023,383.0,339.0,289.0,50.0,0.0,30.0
480291806021,423.0,380.0,312.0,68.0,43.0,0.0
480291911021,295.0,286.0,278.0,8.0,0.0,9.0
480291911022,350.0,274.0,249.0,25.0,59.0,0.0
480291911023,474.0,430.0,430.0,0.0,0.0,44.0
