block_group,B24080_001E,B24080_001E_03,B24080_001E_06,B24080_001E_09,B24080_001E_10,B24080_001E_11,B24080_002E,B24080_003E,B24080_006E,B24080_009E_M,B24080_010E,B24080_011E,B24080_012E,B24080_013E,B24080_016E,B24080_019E_M,B24080_020E,B24080_021E
480291401002,301.0,272.0,11.0,5.0,13.0,0.0,171.0,171.0,0.0,0.0,0.0,0.0,130.0,101.0,11.0,5.0,13.0,0.0
480291401001,355.0,257.0,34.0,45.0,19.0,0.0,232.0,178.0,19.0,25.0,10.0,0.0,123.0,79.0,15.0,20.0,9.0,0.0
480291404004,262.0,158.0,0.0,9.0,95.0,0.0,146.0,76.0,0.0,9.0,61.0,0.0,116.0,82.0,0.0,0.0,34.0,0.0
480291101002,384.0,286.0,49.0,34.0,15.0,0.0,161.0,97.0,22.0,34.0,8.0,0.0,223.0,189.0,27.0,0.0,7.0,0.0
480291209022,908.0,532.0,95.0,254.0,27.0,0.0,363.0,275.0,61.0,27.0,0.0,0.0,545.0,257.0,34.0,227.0,27.0,0.0
480291209021,1222.0,1059.0,82.0,81.0,0.0,0.0,716.0,683.0,0.0,33.0,0.0,0.0,506.0,376.0,82.0,48.0,0.0,0.0
480291214033,979.0,752.0,49.0,164.0,14.0,0.0,545.0,481.0,22.0,28.0,14.0,0.0,434.0,271.0,27.0,136.0,0.0,0.0
480291214031,895.0,683.0,39.0,88.0,85.0,0.0,395.0,331.0,0.0,33.0,31.0,0.0,500.0,352.0,39.0,55.0,54.0,0.0
480291216042,632.0,364.0,52.0,121.0,95.0,0.0,258.0,174.0,22.0,62.0,0.0,0.0,374.0,190.0,30.0,59.0,95.0,0.0
480291216043,405.0,250.0,86.0,27.0,42.0,0.0,189.0,70.0,68.0,9.0,42.0,0.0,216.0,180.0,18.0,18.0,0.0,0.0
480291306004,331.0,256.0,47.0,0.0,28.0,0.0,188.0,181.0,0.0,0.0,7.0,0.0,143.0,75.0,47.0,0.0,21.0,0.0
