block_group,B03002_001E,B03002_002E,B03002_003E,B03002_004E,B03002_006E,B03002_002E_O,B03002_012E
480291717006,1356.0,17.0,2.0,15.0,0.0,0.0,1339.0
480291719032,929.0,218.0,70.0,133.0,0.0,15.0,711.0
480291719034,1120.0,185.0,185.0,0.0,0.0,0.0,935.0
480291509002,802.0,106.0,106.0,0.0,0.0,0.0,696.0
480291509001,1520.0,111.0,104.0,7.0,0.0,0.0,1409.0
480291509005,1767.0,257.0,248.0,0.0,0.0,9.0,1510.0
480291705003,1099.0,272.0,268.0,0.0,0.0,4.0,827.0
480291705004,1055.0,87.0,87.0,0.0,0.0,0.0,968.0
480291705002,1267.0,210.0,183.0,12.0,15.0,0.0,1057.0
480291805042,3025.0,126.0,114.0,0.0,12.0,0.0,2899.0
480291205025,1036.0,535.0,129.0,242.0,115.0,49.0,501.0
480291205023,419.0,179.0,122.0,57.0,0.0,0.0,240.0
480291205026,991.0,406.0,245.0,54.0,0.0,107.0,585.0
480291205024,875.0,289.0,224.0,55.0,0.0,10.0,586.0
480291207012,1380.0,334.0,242.0,27.0,65.0,0.0,1046.0
480291207011,1072.0,363.0,363.0,0.0,0.0,0.0,709.0
480291302002,700.0,293.0,23.0,270.0,0.0,0.0,407.0
480291410003,1694.0,114.0,88.0,26.0,0.0,0.0,1580.0
480291410002,1264.0,346.0,112.0,173.0,0.0,61.0,918.0
480291516001,2161.0,231.0,203.0,17.0,0.0,11.0,1930.0
480291516004,1546.0,96.0,78.0,0.0,18.0,0.0,1450.0
480291516002,918.0,226.0,226.0,0.0,0.0,0.0,692.0
480291817051,1885.0,1018.0,695.0,298.0,25.0,0.0,867.0
480291817052,1706.0,710.0,338.0,81.0,247.0,44.0,996.0
480291512002,2974.0,475.0,403.0,66.0,4.0,2.0,2499.0
480291606001,1303.0,30.0,28.0,0.0,2.0,0.0,1273.0
480291606003,2451.0,21.0,21.0,0.0,0.0,0.0,2430.0
480291419003,1407.0,759.0,684.0,27.0,0.0,48.0,648.0
480291419002,1662.0,1240.0,1163.0,14.0,13.0,50.0,422.0
480291515003,1134.0,125.0,95.0,0.0,0.0,30.0,1009.0
480291515002,981.0,87.0,87.0,0.0,0.0,0.0,894.0
480291603003,666.0,37.0,37.0,0.0,0.0,0.0,629.0
480291603002,1044.0,71.0,38.0,0.0,33.0,0.0,973.0
480291603005,1600.0,75.0,75.0,0.0,0.0,0.0,1525.0
480291612001,730.0,303.0,248.0,22.0,10.0,23.0,427.0
480291612002,2198.0,130.0,74.0,44.0,0.0,12.0,2068.0
480291804003,754.0,58.0,37.0,0.0,0.0,21.0,696.0
480291804001,1929.0,148.0,100.0,20.0,0.0,28.0,1781.0
480291807012,2671.0,1418.0,784.0,356.0,278.0,0.0,1253.0
480291811004,923.0,435.0,355.0,0.0,61.0,19.0,488.0
480291811002,924.0,640.0,568.0,0.0,0.0,72.0,284.0
