block_group,B08303_001E,B08303_004E_M,B08303_007E_M,B08303_011E_M,B08303_013E_M
480291909015,665.0,241.0,342.0,16.0,66.0
480291909013,130.0,0.0,85.0,0.0,45.0
480291809014,497.0,229.0,142.0,106.0,20.0
480291813031,964.0,264.0,435.0,208.0,57.0
480291815041,792.0,269.0,365.0,147.0,11.0
480291815042,1632.0,484.0,772.0,353.0,23.0
480291816012,897.0,145.0,334.0,347.0,71.0
480291906011,915.0,357.0,433.0,101.0,24.0
480291818091,505.0,36.0,164.0,261.0,44.0
480291818092,1044.0,295.0,439.0,310.0,0.0
480291818094,640.0,127.0,350.0,113.0,50.0
480291906013,462.0,116.0,169.0,177.0,0.0
480291910041,642.0,100.0,397.0,106.0,39.0
480291910043,462.0,46.0,291.0,80.0,45.0
480291813022,1177.0,384.0,731.0,47.0,15.0
480291212063,346.0,62.0,96.0,188.0,0.0
480291212061,546.0,78.0,324.0,144.0,0.0
480291212065,1027.0,496.0,257.0,238.0,36.0
480291212062,580.0,82.0,274.0,171.0,53.0
480291214022,620.0,126.0,205.0,247.0,42.0
480291214021,2942.0,327.0,1535.0,851.0,229.0
480291218031,746.0,137.0,360.0,249.0,0.0
480291218032,324.0,101.0,138.0,85.0,0.0
480291218033,1138.0,244.0,571.0,314.0,9.0
480291218041,1303.0,320.0,564.0,362.0,57.0
480291218042,1280.0,394.0,602.0,196.0,88.0
480291218043,695.0,102.0,516.0,71.0,6.0
480291308001,1043.0,298.0,527.0,171.0,47.0
480291308004,479.0,115.0,186.0,160.0,18.0
480291308002,273.0,72.0,44.0,78.0,79.0
480291308003,203.0,24.0,96.0,64.0,19.0
480291311003,371.0,28.0,219.0,124.0,0.0
480291311002,301.0,123.0,108.0,70.0,0.0
480291602002,438.0,109.0,247.0,82.0,0.0
480291817134,728.0,96.0,320.0,192.0,120.0
480291817132,829.0,42.0,437.0,350.0,0.0
480291817133,686.0,79.0,295.0,296.0,16.0
480291815054,659.0,109.0,266.0,284.0,0.0
480291815053,479.0,127.0,201.0,112.0,39.0
480291815051,406.0,110.0,239.0,57.0,0.0
480291817042,674.0,45.0,399.0,221.0,9.0
480291817044,550.0,85.0,313.0,143.0,9.0
480291817111,1217.0,97.0,454.0,565.0,101.0
480291907002,397.0,140.0,210.0,38.0,9.0
480291907003,619.0,103.0,381.0,108.0,27.0
480291607011,524.0,112.0,271.0,127.0,14.0
480291607012,575.0,148.0,203.0,224.0,0.0
480291718011,649.0,105.0,299.0,171.0,74.0
480291718013,489.0,64.0,220.0,167.0,38.0
480291718014,320.0,36.0,110.0,102.0,72.0
480291718012,808.0,239.0,263.0,264.0,42.0
480291802013,899.0,144.0,569.0,173.0,13.0
480291802012,373.0,144.0,193.0,36.0,0.0
480291802014,621.0,156.0,302.0,155.0,8.0
480291802011,259.0,42.0,210.0,7.0,0.0
480291812001,218.0,52.0,149.0,17.0,0.0
480291812004,605.0,88.0,500.0,17.0,0.0
480291812002,254.0,13.0,156.0,68.0,17.0
480291812005,430.0,104.0,274.0,37.0,15.0
480291514004,413.0,47.0,92.0,256.0,18.0
480291511003,306.0,67.0,97.0,142.0,0.0
480291511001,184.0,11.0,99.0,51.0,23.0
480291514001,407.0,30.0,277.0,76.0,24.0
480291514002,541.0,168.0,235.0,138.0,0.0
480291905012,882.0,173.0,464.0,224.0,21.0
480291905013,419.0,125.0,166.0,121.0,7.0
480291905011,395.0,67.0,215.0,113.0,0.0
480291908001,406.0,115.0,222.0,57.0,12.0
480291908002,453.0,169.0,258.0,23.0,3.0
480291909011,504.0,116.0,288.0,100.0,0.0
480291909012,1046.0,273.0,399.0,165.0,209.0
480291909021,805.0,285.0,351.0,120.0,49.0
480291909023,347.0,70.0,216.0,61.0,0.0
480291810012,896.0,273.0,462.0,91.0,70.0
480291810042,1704.0,344.0,952.0,365.0,43.0
480291810041,1213.0,266.0,751.0,172.0,24.0
480291901004,361.0,34.0,167.0,112.0,48.0
480291901003,444.0,55.0,277.0,86.0,26.0
480291901002,365.0,17.0,170.0,169.0,9.0
480291719021,1249.0,186.0,657.0,272.0,134.0
